location_id,building_type,indoor,distance_to_store,weekend,club_activity_day,days_observed,model_name,predicted_probability,install_camera_threshold_0_2,install_camera,risk_segment,expected_benefit_e1
loc_0679,gym,1,498.0,0.28493150684931506,0.18082191780821918,365,Logistic Regression,0.5383775799852997,1,1,High,3383.775799852997
loc_0380,gym,1,494.0,0.28493150684931506,0.2136986301369863,365,Logistic Regression,0.5383407439830061,1,1,High,3383.407439830061
loc_0072,gym,1,494.0,0.28493150684931506,0.2191780821917808,365,Logistic Regression,0.538338628595629,1,1,High,3383.3862859562896
loc_0440,gym,1,489.0,0.28493150684931506,0.2054794520547945,365,Logistic Regression,0.5383137370860831,1,1,High,3383.1373708608307
loc_0677,gym,1,487.0,0.28493150684931506,0.19726027397260273,365,Logistic Regression,0.5383048381339967,1,1,High,3383.048381339967
loc_0232,gym,1,482.0,0.28493150684931506,0.18082191780821918,365,Logistic Regression,0.5382810040781483,1,1,High,3382.8100407814827
loc_0577,gym,1,475.0,0.28493150684931506,0.18356164383561643,365,Logistic Regression,0.5382376934880815,1,1,High,3382.3769348808146
loc_0617,gym,1,462.0,0.28493150684931506,0.16986301369863013,365,Logistic Regression,0.538164511160149,1,1,High,3381.6451116014896
loc_0433,gym,1,462.0,0.28493150684931506,0.1863013698630137,365,Logistic Regression,0.538158164649625,1,1,High,3381.58164649625
loc_0064,gym,1,458.0,0.28493150684931506,0.2054794520547945,365,Logistic Regression,0.5381266149789282,1,1,High,3381.2661497892823
loc_0619,gym,1,458.0,0.28493150684931506,0.2410958904109589,365,Logistic Regression,0.5381128640305699,1,1,High,3381.1286403056993
loc_0655,gym,1,453.0,0.28493150684931506,0.1917808219178082,365,Logistic Regression,0.5381017218462327,1,1,High,3381.017218462327
loc_0309,gym,1,450.0,0.28493150684931506,0.2054794520547945,365,Logistic Regression,0.5380783236568737,1,1,High,3380.7832365687373
loc_0893,gym,1,450.0,0.28493150684931506,0.2356164383561644,365,Logistic Regression,0.5380666880705567,1,1,High,3380.6668807055667
loc_0249,gym,1,442.0,0.28493150684931506,0.16986301369863013,365,Logistic Regression,0.5380437829176226,1,1,High,3380.437829176226
loc_0255,gym,1,441.0,0.28493150684931506,0.19726027397260273,365,Logistic Regression,0.5380271684527979,1,1,High,3380.2716845279783
loc_0564,gym,1,439.0,0.28493150684931506,0.2328767123287671,365,Logistic Regression,0.5380013439034648,1,1,High,3380.0134390346475
loc_0105,gym,1,429.0,0.28493150684931506,0.1917808219178082,365,Logistic Regression,0.5379568446333105,1,1,High,3379.5684463331054
loc_0224,gym,1,427.0,0.28493150684931506,0.1863013698630137,365,Logistic Regression,0.5379468868856387,1,1,High,3379.4688688563874
loc_0517,gym,1,426.0,0.28493150684931506,0.2191780821917808,365,Logistic Regression,0.5379281562748865,1,1,High,3379.2815627488653
loc_0884,gym,1,413.0,0.28493150684931506,0.2328767123287671,365,Logistic Regression,0.5378443884858684,1,1,High,3378.4438848586833
loc_0294,gym,1,405.0,0.28493150684931506,0.1917808219178082,365,Logistic Regression,0.5378119610096286,1,1,High,3378.119610096286
loc_0358,gym,1,400.0,0.28493150684931506,0.21643835616438356,365,Logistic Regression,0.5377722552330653,1,1,High,3377.7225523306524
loc_0231,gym,1,389.0,0.28493150684931506,0.2,365,Logistic Regression,0.5377121946887631,1,1,High,3377.1219468876307
loc_0512,gym,1,388.0,0.28493150684931506,0.22465753424657534,365,Logistic Regression,0.5376966364471244,1,1,High,3376.9663644712437
